hashcode,fix,ns,nd,nf,entrophy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,arrival_time,daystofix,class
1229715109,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,1229715109,0.0,0
1229715923,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,1229715923,0.0,0
1229716040,0,1,7,17,0.844780553,3310,0,0.0,1,0.0,0,8.0,0.0,16,1229716040,0.0,0
1230585851,0,1,3,3,0.0,14,16,5.333333333,1,10.06725694,3,1.0,0.6942588679999999,2,1230585851,0.0,0
1230586083,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,1230586083,0.0,0
1230586097,0,1,1,2,0.828055725,23,0,0.0,1,0.0,0,3.5,0.0,1,1230586097,0.0,0
1230586255,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,1230586255,0.0,0
1230586268,0,1,1,2,0.828055725,23,0,0.0,1,0.0,0,5.5,0.0,1,1230586268,0.0,0
1230587323,0,1,2,2,0.0,0,40,20.0,1,10.08429398,2,7.5,1.07437308,4,1230587323,0.0,0
1230587371,0,1,1,1,0.0,1,0,0.0,1,0.0,0,9.0,0.0,2,1230587371,0.0,0
1230588150,0,1,1,1,0.0,0,0,0.0,1,0.0,0,10.0,0.0,2,1230588150,0.0,0
1230588831,0,1,1,1,0.0,0,0,0.0,1,0.007881944,1,11.0,127.87224669999999,3,1230588831,0.0,0
1230659983,0,1,9,11,3.197622532,536,6,0.545454545,2,0.077742003,1,5.0,1.972153662,10,1230659983,0.0,0
1230663758,0,1,4,6,2.2120736130000003,439,0,0.0,1,0.0,0,13.5,0.0,16,1230663758,0.0,0
1230664619,0,1,2,5,2.084743693,48,4,17.0,2,0.032194443999999996,3,19.0,10.31837791,21,1230664619,0.0,0
1230670187,0,1,4,83,0.0,0,0,0.0,1,0.0,0,63.0,0.0,104,1230670187,0.0,0
1230672793,0,1,2,4,1.884313528,13,0,20.5,2,0.09460648099999999,6,106.5,6.505260582000001,108,1230672793,0.0,0
1230675170,0,1,1,1,0.0,1,23,56.0,2,0.17577546300000002,1,109.0,6.689076184,109,1230675170,0.0,0
1231355407,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,1231355407,0.0,0
1231355455,0,1,11,25,3.12110604,372,0,0.0,1,0.0,0,24.0,0.0,24,1231355455,0.0,0
1231355542,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,1231355542,0.0,0
1231431405,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,1231431405,0.0,0
1231431457,0,1,18,120,2.093509399,3519,0,0.0,1,0.0,0,169.5,0.0,119,1231431457,0.0,0
1231431483,0,1,1,2,0.0,0,0,0.0,1,0.00030092599999999997,2,230.5,2493.3076920000003,121,1231431483,0.0,0
1231434439,0,1,1,1,0.0,1,1,236.0,1,0.034513889,1,0.0,0.0,0,1231434439,0.0,0
1231447333,0,1,10,12,3.262708369,374,8,27.5,1,0.073686343,6,237.5,3.182092973,133,1231447333,0.0,0
1231449741,0,1,2,3,1.556656707,2,5,47.66666667,1,0.15037037,4,245.0,4.705906184,136,1231449741,0.0,0
1231457577,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,1231457577,0.0,0
1231457596,0,1,10,47,3.346322924,306,0,0.0,1,0.0,0,60.0,0.0,46,1231457596,0.0,0
1231457834,0,1,6,6,1.815604732,38,5,22.0,1,0.131907793,7,249.5,3.358415547,142,1231457834,0.0,0
1231775936,0,1,13,20,3.739529367,152,45,10.95,1,1.6580208330000001,9,93.5,1.12885953,66,1231775936,0.0,0
1231776125,0,1,1,1,0.0,1,1,43.0,1,3.805462963,1,1.0,1.2627801159999998,1,1231776125,0.0,0
1231776464,0,1,5,8,2.621928164,288,1,10.375,2,0.921961806,5,5.5,0.7605804540000001,9,1231776464,0.0,0
1231791301,0,1,1,3,1.42498937,13,25,27.0,2,0.17172453699999998,3,11.0,4.55867089,12,1231791301,0.0,0
1231791326,0,1,1,1,0.0,5,0,0.0,1,0.0,0,13.0,0.0,13,1231791326,0.0,0
1231791340,0,1,1,1,0.0,7,11,78.0,2,0.172175926,4,14.0,6.808012907,14,1231791340,0.0,0
1231791393,0,1,1,1,0.0,17,8,70.0,2,0.17278935199999998,1,15.0,6.787393663,15,1231791393,0.0,0
1231791400,0,1,1,1,0.0,9,6,31.0,2,0.17287037,1,16.0,6.7846813070000005,16,1231791400,0.0,0
1231870202,0,1,4,7,2.509711902,147,32,39.71428571,2,0.701137566,13,20.0,1.5494321880000002,23,1231870202,0.0,0
1231880373,0,1,5,7,2.069719182,119,37,38.0,2,0.47525463,14,27.0,2.7819267130000003,30,1231880373,0.0,0
1231884400,0,1,3,4,0.852405179,17,1,70.5,2,2.522355324,5,105.5,1.17303945,3,1231884400,0.0,0
1231955538,0,1,6,12,2.7441833960000004,191,14,36.91666667,2,1.538058449,24,36.5,1.4694831990000001,42,1231955538,0.0,0
1231961267,0,1,2,2,0.918295834,1,2,30.0,2,0.06630787,4,43.5,12.310874499999999,44,1231961267,0.0,0
1231968649,0,1,1,1,0.0,1,0,75.0,1,6.00587963,3,45.0,1.166503504,45,1231968649,0.0,0
1231969102,0,1,3,7,2.3857728430000003,184,2,20.42857143,3,0.06728174599999999,15,111.0,4.202510848,10,1231969102,7.1212,1
1231971001,0,1,6,6,1.659666665,126,17,45.5,3,0.100873843,17,48.5,4.272049298,51,1231971001,0.0,0
1231971970,0,1,1,1,0.0,13,13,59.0,3,0.011215278,2,52.0,90.16408669,52,1231971970,0.0,0
1231977234,0,1,1,1,0.0,1,1,108.0,3,0.072141204,10,17.0,14.86170383,0,1231977234,0.0,0
1232035671,0,1,1,1,0.0,9,7,106.0,2,0.927465278,5,53.0,2.07820748,53,1232035671,0.0,0
1232035708,0,1,1,1,0.0,13,4,51.0,2,1.915578704,1,54.0,1.522035455,54,1232035708,0.0,0
1232035732,0,1,1,1,0.0,2,2,108.0,3,0.677060185,11,55.0,2.476973572,55,1232035732,0.0,0
1232035756,0,1,1,4,1.8553885419999998,21,15,37.5,3,0.849953704,15,57.5,1.572549265,59,1232035756,0.0,0
1232052561,0,1,3,7,2.380429518,189,2,23.85714286,3,0.083397817,23,118.0,3.5262534339999996,17,1232052561,0.0,0
1232052576,0,1,1,1,0.0,31,0,0.0,1,0.0,0,122.0,0.0,18,1232052576,0.0,0
1232061908,1,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,1232061908,0.0,0
1232061969,0,1,11,55,5.181841508,3429,0,0.0,1,0.0,0,150.0,0.0,54,1232061969,0.0,0
1232062045,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,1232062045,0.0,0
1232120529,0,1,4,5,1.76014203,164,0,31.0,4,0.5078587960000001,14,2.0,1.187236626,4,1232120529,11.1562,1
1232120976,0,1,1,1,0.0,1,1,35.0,4,0.005173611,1,5.0,194.2885906,5,1232120976,0.0,0
1232122143,0,1,10,23,3.668519705,169,81,10.82608696,1,2.905621477,19,189.0,1.038007693,89,1232122143,0.0,0
1232122259,0,1,3,4,1.463789454,83,0,38.75,4,0.206678241,19,7.5,26.02350069,9,1232122259,0.0,0
1232126233,0,1,3,4,0.9573702759999999,41,12,71.5,4,0.056006944,19,11.5,9.538854122,13,1232126233,11.0902,1
1232133130,0,1,1,1,0.0,3,0,0.0,1,0.0,0,18.0,0.0,1,1232133130,0.0,0
1232140889,0,1,5,6,2.028136402,65,33,69.0,5,2.222924383,9,21.5,1.1997938890000002,7,1232140889,5.1329,1
1232144619,0,1,3,9,2.8573975860000003,294,0,22.11111111,4,0.076044239,24,18.0,3.178629147,22,1232144619,0.0,0
1232146346,0,1,3,4,1.461254335,34,31,56.25,5,0.036576968,22,26.5,21.22932659,11,1232146346,0.0,0
1232147557,0,1,15,32,4.026258319,663,69,10.21875,1,0.494267216,24,216.5,1.590668845,121,1232147557,0.0,0
1232379801,0,1,16,40,4.158636379,338,466,22.775,1,3.011890625,57,252.5,1.004224936,161,1232379801,0.0,0
1232380063,0,1,3,9,2.878995817,46,29,79.44444444,1,3.6816435189999996,9,277.0,1.085377578,63,1232380063,0.0,0
1232380207,0,1,1,1,0.0,1,1,24.0,1,0.0016666670000000001,2,282.0,601.0,64,1232380207,0.0,0
1232382233,0,1,4,6,1.639736228,12,78,70.0,5,2.874375,27,25.5,1.138524239,28,1232382233,0.0,0
1232401435,0,1,2,4,1.985228136,28,28,84.5,5,2.284866898,22,30.5,1.181549891,32,1232401435,0.0,0
1232406776,0,1,4,8,2.662379171,85,5,59.625,5,2.9546990739999996,27,286.5,1.092566813,26,1232406776,0.0,0
1232467435,1,1,1,1,0.0,6,5,30.0,4,3.7362962960000003,1,33.0,1.2676447259999999,33,1232467435,0.0,0
1232553118,0,1,2,2,0.721928095,5,0,109.5,5,1.6937731480000002,22,291.5,1.442798376,28,1232553118,0.0,0
1232562713,0,1,3,3,1.0768432159999999,26,8,26.66666667,5,4.840115741,9,30.0,1.125590923,14,1232562713,0.2507,1
