fix,ns,nd,nf,entrophy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,arrival_time,daystofix,class
0,7,254,1877,9.559288155,430845,0,0.0,1,0.0,0,938.0,0.0,1759,1275026726,0.0,0
0,1,1,1,0.0,11,0,0.0,1,0.0,0,1877.0,0.0,4,1275253924,0.0,0
0,2,8,30,4.014124212,1018,864,205.5333333,1,2.67787037,30,1892.5,1.049728411,5,1275258094,1.9344,1
0,1,4,6,1.3754115319999998,362,515,382.8333333,1,1.1491435190000001,12,2.5,1.043634886,5,1275357380,10.6589,1
0,1,1,1,0.0,1,1,407.0,1,0.559155093,3,6.0,2.788412577,6,1275405691,0.0,0
1,1,1,2,0.918295834,16,8,344.0,1,3.27337963,3,7.5,1.184779102,8,1275425230,0.0,0
0,1,1,1,0.0,27,6,158.0,1,4.612962963,1,9.0,1.216780409,0,1275425286,0.0,0
0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,1275428163,0.0,0
1,1,1,1,0.0,13,0,96.0,1,13.48172454,1,0.0,0.0,0,1276191547,878.1622,1
0,2,2,2,0.7080803259999999,76,12,35.0,2,6.825798611000001,1,0.5,0.536625751,0,1276206224,0.0,0
0,1,1,1,0.0,24,3,117.0,2,0.12357638900000001,2,2.0,9.092160718999999,1,1276216901,0.0,0
0,1,1,1,0.0,4,1,138.0,2,0.063310185,3,3.0,16.7952468,2,1276222371,0.0,0
0,1,1,1,0.0,3,0,141.0,2,0.001064815,4,4.0,940.1304347999999,3,1276222463,0.0,0
0,2,3,3,1.036096458,223,6,76.33333333,2,8.523425926,3,2.0,1.060236703,2,1276247046,0.3814,1
0,1,1,1,0.0,2,0,109.0,1,0.645208333,2,4.0,2.549886987,3,1276247293,0.0,0
0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,1276276120,0.0,0
1,1,1,1,0.0,4,4,566.0,1,10.65893519,3,10.0,1.0938180020000001,9,1276278312,12.3936,1
1,1,1,1,0.0,2,6,566.0,1,0.000219907,4,11.0,4548.368421,10,1276278331,12.3933,1
0,1,1,1,0.0,3,0,407.0,1,10.10081019,4,12.0,1.099001959,11,1276278401,53.1563,1
1,1,1,1,0.0,18,18,222.0,1,14.488078699999999,1,13.0,1.069022264,12,1276278496,0.0,0
1,1,1,1,0.0,13,2,222.0,1,0.013611111,2,14.0,74.46938776,13,1276279672,12.5116,1
0,1,1,2,0.888212879,150,128,321.5,1,12.58949074,4,15.5,1.0543334640000002,15,1276279785,12.3765,1
1,1,1,1,0.0,11,6,232.0,2,0.38144675899999997,2,17.0,3.62159784,16,1276280003,49.0362,1
0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,1276290374,0.0,0
0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,1276290395,0.0,0
0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,1276290424,0.0,0
0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,1276290427,0.0,0
0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,1276387520,0.0,0
0,1,1,1,0.0,1,1,17.0,2,2.099201389,1,1908.0,1.4763716359999999,6,1276387595,0.0,0
0,1,1,2,0.566509507,30,0,233.0,1,13.12700231,4,1909.5,1.057134141,94,1276392267,0.0,0
0,1,1,1,0.0,114,55,315.0,1,2.679247685,3,1911.0,1.3732391019999999,95,1276623754,34.2676,1
0,2,2,2,0.71221377,333,0,0.0,1,0.0,0,5.5,0.0,0,1276999528,200.2101,1
0,1,1,1,0.0,14,14,144.0,2,9.829189815,5,1912.0,1.101737785,21,1277071705,0.0,0
0,1,1,1,0.0,1,1,34.0,2,0.0,3,1913.0,0.0,7,1277071757,0.0,0
