hashcode,fix,ns,nd,nf,entrophy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,arrival_time,daystofix,class
1195002354,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,1195002354,0.0,0
1195003702,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,1195003702,0.0,0
1195049108,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,1195049108,0.0,0
1195077690,0,1,2,7,1.259080257,260,0,0.0,1,0.0,0,3.0,0.0,6,1195077690,0.0,0
1195078176,0,2,4,14,2.259080257,260,260,18.57142857,1,0.0028125,7,13.5,33.42517007,13,1195078176,0.0,0
1195135503,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,1195135503,0.0,0
1195239687,0,1,1,3,1.148834854,9,5,9.666666667000001,1,1.8693402780000001,3,22.0,1.326912718,9,1195239687,0.0,0
1195240285,0,1,1,1,0.0,2,2,2.0,1,0.0069212959999999995,2,24.0,145.4816054,10,1195240285,0.0,0
1195240937,0,1,1,2,0.9043814579999999,25,0,0.0,1,0.0,0,25.5,0.0,12,1195240937,0.0,0
1195241081,0,2,4,18,2.6957270419999997,289,289,16.05555556,1,0.42148405299999997,13,35.5,56.78019544,8,1195241081,0.0,0
1195253758,0,1,1,1,0.0,6,2,8.0,1,0.146724537,1,45.0,7.815492624,9,1195253758,0.0,0
1195506089,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,1195506089,0.0,0
1195506405,0,1,1,3,1.148834854,6,8,11.0,1,3.07087963,3,47.0,1.199001975,12,1195506405,0.0,0
1195507776,0,1,1,3,1.584962501,99,0,0.0,1,0.0,0,50.0,0.0,15,1195507776,141.1176,1
1195509637,0,1,1,3,1.3808879459999999,171,0,0.0,1,0.0,0,53.0,0.0,18,1195509637,141.0961,1
1195513349,0,1,1,3,1.3844315040000001,12,0,57.0,1,0.042962963,3,56.0,15.22413793,21,1195513349,0.0,0
1195514428,0,1,1,3,1.584962501,6,0,33.0,1,0.076990741,3,59.0,8.937462417,24,1195514428,141.0406,1
1195517821,0,1,2,3,1.4913409080000002,168,0,0.0,1,0.0,0,62.0,0.0,27,1195517821,141.0013,1
1195570869,0,1,1,1,0.0,19,0,107.0,1,0.665740741,2,64.0,2.502086231,28,1195570869,0.0,0
1195597186,0,1,9,19,3.9887590989999997,477,476,26.15789474,1,0.469749635,18,74.0,1.213059932,47,1195597186,140.0828,1
1195597346,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,1195597346,0.0,0
1195611047,0,1,2,3,1.190296995,176,21,56.33333333,1,0.160428241,3,85.0,4.809248972,50,1195611047,0.0,0
1195664235,0,1,2,3,1.475164107,106,12,12.33333333,1,0.205200617,2,88.0,0.8748088540000001,53,1195664235,0.0,0
1195666121,0,1,1,1,0.0,43,2,150.0,1,0.637430556,2,90.0,2.568798344,54,1195666121,0.0,0
1195673464,0,1,1,1,0.0,32,0,0.0,1,0.0,0,91.0,0.0,55,1195673464,139.1999,1
1196557078,0,1,1,1,0.0,31,0,0.0,1,0.0,0,92.0,0.0,56,1196557078,0.0,0
1196557288,0,1,1,3,1.579871302,126,0,0.0,1,0.0,0,94.0,0.0,59,1196557288,3047.5298,1
1196613031,0,1,1,4,1.5371947990000001,92,33,50.5,1,8.818098958,3,97.5,0.788982325,63,1196613031,128.3253,1
1196613849,0,1,1,2,0.309543429,62,10,84.5,1,11.298703699999999,5,100.5,1.0676186,65,1196613849,0.0,0
1196614120,0,1,1,1,0.0,41,0,0.0,1,0.0,0,102.0,0.0,66,1196614120,128.3127,1
1196614316,0,1,1,1,0.0,34,0,0.0,1,0.0,0,103.0,0.0,67,1196614316,0.0,0
1196619427,0,1,1,5,1.8103200030000002,759,0,0.0,1,0.0,0,106.0,0.0,72,1196619427,0.0,0
1196619578,0,1,1,1,0.0,28,0,0.0,1,0.0,0,109.0,0.0,73,1196619578,0.0,0
1196620789,0,1,1,1,0.0,161,0,0.0,1,0.0,0,110.0,0.0,74,1196620789,81.404,1
1196620878,0,1,1,1,0.0,28,0,0.0,1,0.0,0,111.0,0.0,75,1196620878,0.0,0
1196627134,0,1,1,1,0.0,48,0,0.0,1,0.0,0,112.0,0.0,76,1196627134,0.0,0
1196638433,0,1,1,3,1.287697567,217,161,53.66666667,1,0.068070988,1,114.0,5.896848787000001,79,1196638433,0.0,0
1196638503,0,1,1,3,1.255754158,298,0,0.0,1,0.0,0,117.0,0.0,82,1196638503,0.0,0
1196638764,0,1,1,2,0.930586129,104,0,0.0,1,0.0,0,119.5,0.0,84,1196638764,128.0275,1
1196642615,0,1,1,2,0.999839302,134,0,0.0,1,0.0,0,121.5,0.0,86,1196642615,0.0,0
1196643819,0,1,1,1,0.0,4,2,160.0,1,0.282314815,1,123.0,4.542144966,87,1196643819,0.0,0
1196643855,0,1,1,1,0.0,2,1,191.0,1,0.06275463,1,124.0,16.93507931,88,1196643855,0.0,0
1196645097,0,1,3,4,1.800273833,229,0,0.0,1,0.0,0,126.5,0.0,92,1196645097,127.9542,1
1196645208,0,1,1,1,0.0,68,0,191.0,1,11.33202546,3,129.0,1.088245478,93,1196645208,0.0,0
1196645993,0,1,1,1,0.0,85,0,0.0,1,0.0,0,130.0,0.0,94,1196645993,84.5349,1
1196646506,0,1,1,3,1.583640554,263,0,0.0,1,0.0,0,132.0,0.0,97,1196646506,0.0,0
1196648302,0,1,2,3,1.548238409,196,0,0.0,1,0.0,0,135.0,0.0,100,1196648302,127.9171,1
1196648896,0,1,1,1,0.0,35,0,0.0,1,0.0,0,137.0,0.0,101,1196648896,0.0,0
1196685860,0,1,3,4,1.245058026,173,3,8.5,1,7.293912037,5,139.5,1.040789094,105,1196685860,127.4824,1
1196694989,0,1,3,7,2.56661225,430,12,23.85714286,1,0.030188492,2,145.0,6.122482513,112,1196694989,127.3767,1
1196695158,0,1,2,4,1.691605424,57,13,36.75,1,0.7129079859999999,5,150.5,1.569849136,116,1196695158,0.0,0
1196697394,1,1,1,1,0.0,2,2,14.0,1,0.13349537,3,153.0,8.49089648,117,1196697394,0.0,0
1196775213,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,1196775213,0.0,0
1197063423,0,1,3,10,2.885127662,117,105,124.2,1,4.966315972,12,158.5,1.058959688,127,1197063423,0.0,0
1197067731,0,1,6,11,2.765380441,128,223,79.36363636,1,2.708765783,17,169.0,1.07087771,138,1197067731,0.0,0
1197073822,0,1,1,1,0.0,0,11,157.0,1,0.12035879599999999,3,175.0,9.308491201,139,1197073822,0.0,0
1197209827,0,1,10,23,3.8668255339999997,917,1219,69.17391304,1,1.634729771,38,187.0,1.081119382,162,1197209827,7.1742,1
1197263479,0,1,7,27,4.482955419,949,406,45.62962963,1,2.388852023,30,212.0,1.020183162,189,1197263479,0.1397,1
1197263681,0,1,1,6,2.54224682,323,0,0.0,1,0.0,0,228.5,0.0,195,1197263681,120.7946,1
1197263856,0,1,1,4,1.9208347630000002,118,0,0.0,1,0.0,0,233.5,0.0,199,1197263856,120.7926,1
1197264004,0,1,1,1,0.0,2,2,37.0,1,0.0037384259999999996,1,236.0,268.4922601,200,1197264004,0.0,0
1197264186,0,1,1,2,0.8112781240000001,4,0,71.5,1,0.005844907,2,237.5,129.3168317,202,1197264186,0.0,0
1197269939,0,1,6,11,3.2029809639999995,71,81,92.0,1,3.136346801,23,244.0,1.051913624,213,1197269939,0.0,0
1197270253,0,1,1,6,2.584302398,179,0,0.0,1,0.0,0,252.5,0.0,219,1197270253,120.7186,1
1197270404,0,1,1,1,0.0,0,4,104.0,1,0.08015046299999999,2,256.0,13.476534299999999,220,1197270404,0.0,0
1197272601,0,1,1,1,0.0,2,1,66.0,1,0.10557870400000001,1,257.0,10.4716071,221,1197272601,0.0,0
1197272855,0,1,1,1,0.0,2,2,44.0,1,0.7294907409999999,2,258.0,2.370819318,222,1197272855,0.0,0
1197275550,1,1,1,1,0.0,1,1,130.0,1,0.06494213,7,259.0,16.39832472,223,1197275550,0.0,0
1197275619,0,1,1,2,0.9999637159999999,141,0,0.0,1,0.0,0,260.5,0.0,225,1197275619,0.0,0
1197276453,0,1,3,3,1.5588718480000001,20,0,134.66666669999998,1,0.098290895,11,263.0,8.762301188,228,1197276453,0.0,0
1197277380,0,1,2,2,0.995252549,185,0,0.0,1,0.0,0,265.5,0.0,230,1197277380,0.0,0
1197277510,0,1,1,1,0.0,3,0,23.0,1,6.847800926000001,4,267.0,1.146032283,231,1197277510,0.0,0
1197328182,0,1,3,13,3.2472117519999997,545,0,0.0,1,0.0,0,274.0,0.0,244,1197328182,64.3741,1
1197358386,0,1,7,18,3.554121458,430,209,51.33333333,1,2.329590406,20,289.5,1.036432952,262,1197358386,0.0,0
1197358421,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,1197358421,0.0,0
1197488139,0,1,16,53,5.06957584,1404,333,47.22641509,1,2.493359102,67,325.0,1.052601519,315,1197488139,62.5228,1
1197489687,0,1,1,1,0.0,5,0,14.0,1,9.17005787,4,352.0,1.1090505659999998,316,1197489687,0.0,0
1197659847,0,1,1,1,0.0,0,16,101.0,1,1.987361111,6,353.0,1.503179817,317,1197659847,0.0,0
1197660083,0,1,1,1,0.0,7,0,172.0,1,1.9900925930000002,1,354.0,1.5024891830000002,318,1197660083,0.0,0
1197660250,0,1,2,2,0.8074084140000001,0,206,103.0,1,2.74291088,3,355.5,1.234254853,320,1197660250,0.0,0
1197661165,0,1,4,8,1.979469421,241,227,54.375,1,1.2532002309999999,9,360.5,1.287165195,328,1197661165,0.0,0
